condition,Effortlevel2,success_possibility2
low_prior,3,40
low_prior,3,40
low_prior,3,40
low_prior,4,40
low_prior,4,40
low_prior,4,40
low_prior,3,50
low_prior,3,50
low_prior,3,50
low_prior,4,50
low_prior,4,50
low_prior,4,50
low_prior,3,60
low_prior,3,60
low_prior,3,60
low_prior,4,60
low_prior,4,60
low_prior,4,60
high_prior,3,40
high_prior,3,40
high_prior,3,40
high_prior,4,40
high_prior,4,40
high_prior,4,40
high_prior,3,50
high_prior,3,50
high_prior,3,50
high_prior,4,50
high_prior,4,50
high_prior,4,50
high_prior,3,60
high_prior,3,60
high_prior,3,60
high_prior,4,60
high_prior,4,60
high_prior,4,60
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
no_prior,0,0
